Comment,Designator,Footprint,LCSC,Quantity
0,"R3,R39,R4",R_0402_1005Metric,C17168,3
0.1uF,"C12,C13,C15,C16,C21,C23,C24,C25,C26,C31,C32,C33,C38,C39,C40,C6,C7,C8,C9",C_0402_1005Metric,C1525,19
100K(1%),R15,R_0402_1005Metric,C25741,1
10K(1%),"R14,R200,R209,R210,R28,R7,R9",R_0402_1005Metric,C25744,7
10nF,C41,C_0402_1005Metric,C15195,1
10uF,"C10,C11,C14,C20,C28,C37",C_0603_1608Metric,C19702,6
12pF,"C4,C5",C_0402_1005Metric,C1547,2
1uF/16V(10%),"C17,C18,C27,C29,C30,C34,C35",C_0402_1005Metric,C52923,7
2.2uH,"L1,L2",L_1008_2520Metric,C279858,2
22.1K(1%),R16,R_0402_1005Metric,C2929993,1
22pF,"C2,C36",C_0402_1005Metric,C1555,2
22uF,C3,C_0603_1608Metric,C59461,1
4.7uF,"C1,C42",C_0402_1005Metric,C23733,2
40MHz(+-10 ppm) C501798,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C501798,1
499k,"R1,R2",R_0402_1005Metric,C137971,2
5.1K(1%),"R11,R12,R13,R5,R6",R_0402_1005Metric,C25905,5
51K(1%),"R10,R8",R_0402_1005Metric,C25794,2
AO3401A,"Q2,Q4",SOT-23,C15127,2
C2760486,"J1,J2",USB_C_Receptacle_HRO_TYPE-C-31-M-31,C2760486,2
C720477,"BOOT1,RESET1",SW_SPST_TS-1088-xR020,C720477,2
Conn_01x04,J11,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404,1
ESD7951ST5G,"D6,D7",D_SOD-882,C343992,2
GREEN LED,D8,D_0805_2012Metric,C2297,1
LESD5D5.0CT1G,"D2,D3,D4,D5",D_SOD-523,C5274290,4
MBT3906DW1,"Q1,Q3",SOT-363_SC-70-6,C13962,2
TLV62569DBV,"U1,U4",SOT-23-5,C141836,2
W25Q128JVS,U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,C190862,1
WS2812B,D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2874885,1
~,U2,ESP32-P4,C22387510,1
